,type,episodes,status,aired,premiered,broadcast,studios,genres,duration,rating,score,popularity,members,favorites,watching,completed,on-hold,dropped,plan to watch,total,10,9,8,7,6,5,4,3,2,1
Fullmetal Alchemist: Brotherhood - Statistics,TV,64,Finished Airing,"Apr 5, 2009 to Jul 4, 2010",Spring 2009,Sundays at 17:00 (JST),Bones,"['Action', 'Military', 'Adventure', 'Comedy', 'Drama', 'Magic', 'Fantasy', 'Shounen']",24 min. per ep.,R - 17+ (violence & profanity),9.17,3,2455350,174973,188964,1785355,83097,36078,361856,2455350,771794,438976,219343,77625,22405,10387,3626,1719,2292,18188
Attack on Titan Season 3 Part 2,TV,10,Finished Airing,"Apr 29, 2019 to Jul 1, 2019",Spring 2019,Mondays at 00:10 (JST),Wit Studio,"['Action', 'Drama', 'Fantasy', 'Military', 'Mystery', 'Shounen', 'Super Power']",23 min. per ep.,R - 17+ (violence & profanity),9.11,45,1351881,39240,59459,1173439,6034,3593,109356,1351881,425370,306865,141450,43102,10759,3758,1446,717,543,6155
Steins;Gate - Statistics,TV,24,Finished Airing,"Apr 6, 2011 to Sep 14, 2011",Spring 2011,Wednesdays at 02:05 (JST),White Fox,"['Sci-Fi', 'Psychological', 'Drama', 'Thriller']",24 min. per ep.,PG-13 - Teens 13 or older,9.1,10,1933314,149255,125295,1223098,67098,39188,478635,1933314,502870,299695,153712,63274,23395,12172,5626,2591,1964,5942
Gintama Season 4,TV,51,Finished Airing,"Apr 8, 2015 to Mar 30, 2016",Spring 2015,Wednesdays at 18:00 (JST),Bandai Namco Pictures,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,9.09,337,442352,11316,51004,182178,18025,12447,178698,442352,85307,41402,23488,11458,4281,2513,1019,691,1166,4799
Hunter x Hunter,TV,148,Finished Airing,"Oct 2, 2011 to Sep 24, 2014",Fall 2011,Sundays at 10:55 (JST),Madhouse,"['Action', 'Adventure', 'Fantasy', 'Shounen', 'Super Power']",23 min. per ep.,PG-13 - Teens 13 or older,9.07,11,1916877,148482,259965,1253652,93828,36988,272444,1916877,513174,353164,196317,77277,21921,9375,3387,1469,1192,5020
Legend of the Galactic Heroes,OVA,110,Finished Airing,"Jan 8, 1988 to Mar 17, 1997",,,"Artland,       Magic Bus","['Military', 'Sci-Fi', 'Space', 'Drama']",26 min. per ep.,R - 17+ (violence & profanity),9.06,650,246661,12941,27266,55692,15791,6300,141612,246661,32141,12272,7543,3785,1688,1027,517,290,523,2410
Gintama Season 2,TV,51,Finished Airing,"Apr 4, 2011 to Mar 26, 2012",Spring 2011,Mondays at 18:00 (JST),Sunrise,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,9.06,376,395881,5948,28237,204293,11430,7588,144333,395881,79996,48579,26502,10406,3478,1790,739,360,458,3100
Gintama: Enchousen,TV,13,Finished Airing,"Oct 4, 2012 to Mar 28, 2013",Fall 2012,Thursdays at 18:00 (JST),Sunrise,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,9.04,670,239735,2351,8275,153545,2938,2128,72849,239735,54979,34677,19141,7386,2105,920,326,188,158,2176
Attack on Titan Final Season,TV,16,Finished Airing,"Dec 7, 2020 to Mar 29, 2021",Winter 2021,Mondays at 00:10 (JST),MAPPA,"['Action', 'Military', 'Mystery', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",23 min. per ep.,R - 17+ (violence & profanity),9.0,74,1108258,44335,359435,575464,13978,6079,153302,1108258,311102,202821,97103,34479,11082,4367,2205,1076,957,13567
March Comes In Like A Lion 2nd Season,TV,22,Finished Airing,"Oct 14, 2017 to Mar 31, 2018",Fall 2017,Saturdays at 23:00 (JST),Shaft,"['Drama', 'Game', 'Seinen', 'Slice of Life']",25 min. per ep.,PG-13 - Teens 13 or older,8.99,530,295468,11750,21371,165748,7869,3529,96951,295468,57757,47471,26229,9231,2684,1074,367,187,98,909
Gintama Season 5,TV,12,Finished Airing,"Jan 9, 2017 to Mar 27, 2017",Winter 2017,Mondays at 01:35 (JST),Bandai Namco Pictures,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,8.98,725,222230,2140,12429,126230,3634,2436,77501,222230,44585,29315,16623,6410,2108,902,383,188,137,1740
A Silent Voice,Movie,1,Finished Airing,"Sep 17, 2016",,,Kyoto Animation,"['Drama', 'School', 'Shounen']",2 hr. 10 min.,PG-13 - Teens 13 or older,8.98,24,1577113,59924,33574,1321732,4695,2148,214964,1577113,446025,340981,183314,72725,22519,8319,3576,1439,811,2287
Clannad ~After Story~,TV,24,Finished Airing,"Oct 3, 2008 to Mar 27, 2009",Fall 2008,Fridays at 01:59 (JST),Kyoto Animation,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance']",24 min. per ep.,PG-13 - Teens 13 or older,8.95,92,968580,60781,31111,671981,17371,13870,234247,968580,255974,138539,84263,39988,16467,7904,4092,1840,1374,2703
Gintama - Statistics,TV,201,Finished Airing,"Apr 4, 2006 to Mar 25, 2010",Spring 2006,Thursdays at 18:00 (JST),Sunrise,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,8.95,119,816833,47494,159622,246716,94121,42164,274210,816833,115145,80670,57156,29853,12000,6813,3094,1394,913,2943
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare - Statistics,Movie,1,Finished Airing,"Jul 6, 2013",,,Sunrise,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']",1 hr. 50 min.,PG-13 - Teens 13 or older,8.95,898,181545,1836,3898,129826,1336,1254,45231,181545,44144,29059,17929,7109,2167,851,364,194,121,1671
Fruits Basket: The Final - Statistics,TV,13,Currently Airing,"Apr 6, 2021 to ?",Spring 2021,Tuesdays at 01:30 (JST),TMS Entertainment,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance', 'Shoujo']",23 min. per ep.,PG-13 - Teens 13 or older,8.94,1039,154849,2608,72184,17,1897,619,80132,154849,10568,6552,4178,1507,461,216,75,37,43,254
Your Name.,Movie,1,Finished Airing,"Aug 26, 2016",,,CoMix Wave Films,"['Romance', 'Supernatural', 'School', 'Drama']",1 hr. 46 min.,PG-13 - Teens 13 or older,8.92,9,1950222,69548,44727,1658873,5278,2739,238605,1950222,567593,381355,235684,103043,35566,14574,6116,2454,1274,4272
